,variable,score
0,exercised_stock_options,24.72119151615843
1,total_stock_value,24.39976307723417
2,fraction_to_poi,22.978753411843723
3,bonus,22.0742196477575
4,salary,16.537477172724977
5,restricted_stock,12.119086709633956
6,long_term_incentive,11.319543172736664
7,deferred_income,11.26326416620402
8,expenses,9.40671811633631
9,total_payments,9.239344909838586
10,loan_advances,7.490210081263943
11,shared_receipt_with_poi,7.198489955330003
12,shared_poi_per_email,6.957214418633547
13,email_exists,5.348927875243704
14,other,4.623474390550726
15,director_fees,2.0210282149462757
16,fraction_from_poi,1.843349029986635
17,to_messages,1.3519542735674739
18,from_messages,0.1455312655660158
19,deferral_payments,0.09273643148592421
20,restricted_stock_deferred,0.07032621940659613
